id;title;description;publication_date;price
1;Table Fish;Dynamic programming;2023-10-10;32786
2;Bahrain Principal;radical Configuration Director;2023-10-10;45797
3;Pass;Borders Sudan Mall;2023-10-10;96215
4;interfaces auxiliary Pula;Paradigm Optimization calculating;2023-10-09;14541
5;Alaska Soft FTP;Georgia Generic;2023-10-09;16847
6;bus;cross-platform;2023-10-09;78128
7;Berkshire Jordanian application;turn-key Soft;2023-10-09;83632
8;Club architectures;generate Ports syndicate;2023-10-10;11906
9;e-business indigo Account;Sweden Personal programming;2023-10-09;341
10;Developer;Future-proofed;2023-10-10;93660
